swimmer_name,swimmer_ID,event,event_ID,time,meet_name,year,date,additional_info
David G Bajwa,1244532,50 Free Y,150,24.53,Ashland vs. Calvin, 2023,"Jan 13, 2023",['Relay Leadoff']
David G Bajwa,1244532,50 Free Y,150,22.07,Calvin Winter Invitational, 2022,"Dec 02, 2022",['Extracted']
David G Bajwa,1244532,50 Free Y,150,21.36,Calvin Winter Invitational, 2022,"Dec 01, 2022",[]
David G Bajwa,1244532,50 Free Y,150,25.90,Calvin Mental Health Awareness Meet, 2022,"Oct 22, 2022",['Extracted']
David G Bajwa,1244532,50 Free Y,150,21.60,Michigan Intercollegiate Athletic Association Championships, 2022,"Feb 18, 2022",[]
David G Bajwa,1244532,50 Free Y,150,21.99,Calvin vs. Hillsdale vs Davenport, 2022,"Jan 21, 2022",['Relay Leadoff']
David G Bajwa,1244532,50 Free Y,150,21.70,Calvin Winter Invite, 2021,"Dec 02, 2021",[]
David G Bajwa,1244532,50 Free Y,150,23.56,Calvin vs. Kalamazoo, 2021,"Nov 12, 2021",['Extracted']
David G Bajwa,1244532,50 Free Y,150,22.35,PV SC Championship Series, 2021,"Mar 18, 2021",[]
David G Bajwa,1244532,50 Free Y,150,22.17,Potomac Valley SC Senior Championships, 2020,"Mar 07, 2020",[]
David G Bajwa,1244532,50 Free Y,150,22.77,Washington Metropolitan Prep School League Championship, 2020,"Feb 08, 2020",['Relay Leadoff']
David G Bajwa,1244532,50 Free Y,150,22.53,Washington Metropolitan Prep School League Championship, 2020,"Feb 08, 2020",['Relay Leadoff']
David G Bajwa,1244532,50 Free Y,150,22.71,VA MACH Turkey Claus, 2019,"Dec 08, 2019",[]
David G Bajwa,1244532,50 Free Y,150,23.12,VA MACH Turkey Claus, 2019,"Dec 08, 2019",[]
David G Bajwa,1244532,50 Free Y,150,23.71,PV Oct Open - Lee District, 2019,"Oct 19, 2019",[]
David G Bajwa,1244532,50 Free Y,150,24.92,PV Senior Kick Off, 2019,"Oct 05, 2019",['Extracted']
David G Bajwa,1244532,50 Free Y,150,23.68,Potomac Valley Senior Championships, 2019,"Mar 08, 2019",[]
David G Bajwa,1244532,50 Free Y,150,23.69,PV DCPR 33rd Black History Invitational, 2019,"Feb 16, 2019",[]
David G Bajwa,1244532,50 Free Y,150,24.71,PV January Open - Audrey, 2019,"Jan 20, 2019",[]
David G Bajwa,1244532,50 Free Y,150,23.74,PV Turkey Claus Showdown, 2018,"Dec 02, 2018",[]
David G Bajwa,1244532,50 Free Y,150,23.99,VA HOKI November Invitational, 2018,"Nov 11, 2018",[]
David G Bajwa,1244532,50 Free Y,150,25.77,Turkey Claus Showdown, 2017,"Dec 03, 2017",[]
David G Bajwa,1244532,50 Free Y,150,25.73,Turkey Claus Showdown, 2017,"Dec 03, 2017",[]
David G Bajwa,1244532,50 Free Y,150,26.80,PV Oct Open - Lee Distric, 2017,"Oct 14, 2017",[]
David G Bajwa,1244532,100 Free Y,1100,20.38,NCAA Division III Championship, 2024,"Mar 21, 2024",['Relay Leadoff']
David G Bajwa,1244532,100 Free Y,1100,20.30,NCAA Division III Championship, 2024,"Mar 21, 2024",['Relay Leadoff']
David G Bajwa,1244532,100 Free Y,1100,20.01,NCAA Division III Championship, 2024,"Mar 20, 2024",[]
David G Bajwa,1244532,100 Free Y,1100,20.05,NCAA Division III Championship, 2024,"Mar 20, 2024",[]
David G Bajwa,1244532,100 Free Y,1100,20.09,MIAA Championships, 2024,"Feb 22, 2024",[]
David G Bajwa,1244532,100 Free Y,1100,20.03,MIAA Championships, 2024,"Feb 22, 2024",[]
David G Bajwa,1244532,100 Free Y,1100,20.50,CMU Quad Meet, 2024,"Jan 13, 2024",['Relay Leadoff']
David G Bajwa,1244532,100 Free Y,1100,21.35,GCC v Calvin, 2024,"Jan 12, 2024",['Relay Leadoff']
David G Bajwa,1244532,100 Free Y,1100,20.97,Calvin Winter Invitational, 2023,"Dec 02, 2023","['Extracted', 'Relay Leadoff']"
David G Bajwa,1244532,100 Free Y,1100,20.01,Calvin Winter Invitational, 2023,"Nov 30, 2023","['NCAA Division III Championship', 'Relay Leadoff']"
